time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,13569,2009-07-24 12:01:42.016067,M024,ON,,2009-07-24 12:01:42.016067,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_ON,0 days 00:00:00.926986,4,0,149,1924,1,Lunch,['Lunch'],14,1
2,13570,2009-07-24 12:01:43.062423,M022,ON,,2009-07-24 12:01:43.062423,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[694, 1791]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M022_ON,0 days 00:00:01.046356,4,0,694,1791,1,Lunch,['Lunch'],14,1
3,13571,2009-07-24 12:01:45.037103,M021,OFF,,2009-07-24 12:01:45.037103,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M021_OFF,0 days 00:00:01.974680,4,0,1003,1788,1,Lunch,['Lunch'],14,1
4,13572,2009-07-24 12:01:45.052822,M022,OFF,,2009-07-24 12:01:45.052822,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[694, 1791]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M022_OFF,0 days 00:00:00.015719,4,0,694,1791,1,Lunch,['Lunch'],14,1
5,13573,2009-07-24 12:01:45.095091,M022,ON,,2009-07-24 12:01:45.095091,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[694, 1791]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M022_ON,0 days 00:00:00.042269,4,0,694,1791,1,Lunch,['Lunch'],14,1
6,13574,2009-07-24 12:01:46.086333,M021,ON,,2009-07-24 12:01:46.086333,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M021_ON,0 days 00:00:00.991242,4,0,1003,1788,1,Lunch,['Lunch'],14,1
7,13575,2009-07-24 12:01:48.034747,M022,OFF,,2009-07-24 12:01:48.034747,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[694, 1791]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M022_OFF,0 days 00:00:01.948414,4,0,694,1791,1,Lunch,['Lunch'],14,1
8,13576,2009-07-24 12:01:48.081943,M024,OFF,,2009-07-24 12:01:48.081943,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_OFF,0 days 00:00:00.047196,4,0,149,1924,1,Lunch,['Lunch'],14,1
9,13577,2009-07-24 12:01:52.009825,M021,OFF,,2009-07-24 12:01:52.009825,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M021_OFF,0 days 00:00:03.927882,4,0,1003,1788,1,Lunch,['Lunch'],14,1
10,13578,2009-07-24 12:02:03.096869,M021,ON,,2009-07-24 12:02:03.096869,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M021_ON,0 days 00:00:11.087044,4,0,1003,1788,1,Lunch,['Lunch'],14,1
11,13579,2009-07-24 12:02:07.076888,M021,OFF,,2009-07-24 12:02:07.076888,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M021_OFF,0 days 00:00:03.980019,4,0,1003,1788,1,Lunch,['Lunch'],14,1
12,13580,2009-07-24 12:02:13.042218,M024,ON,,2009-07-24 12:02:13.042218,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_ON,0 days 00:00:05.965330,4,0,149,1924,1,Lunch,['Lunch'],14,1
13,13581,2009-07-24 12:02:15.004683,M024,OFF,,2009-07-24 12:02:15.004683,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_OFF,0 days 00:00:01.962465,4,0,149,1924,1,Lunch,['Lunch'],14,1
14,13582,2009-07-24 12:02:16.026339,M024,ON,,2009-07-24 12:02:16.026339,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_ON,0 days 00:00:01.021656,4,0,149,1924,1,Lunch,['Lunch'],14,1
15,13583,2009-07-24 12:02:16.041949,M021,ON,,2009-07-24 12:02:16.041949,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M021_ON,0 days 00:00:00.015610,4,0,1003,1788,1,Lunch,['Lunch'],14,1
16,13584,2009-07-24 12:02:18.019993,M024,OFF,,2009-07-24 12:02:18.019993,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_OFF,0 days 00:00:01.978044,4,0,149,1924,1,Lunch,['Lunch'],14,1
17,13585,2009-07-24 12:02:18.048096,M024,ON,,2009-07-24 12:02:18.048096,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_ON,0 days 00:00:00.028103,4,0,149,1924,1,Lunch,['Lunch'],14,1
18,13586,2009-07-24 12:02:20.003705,M024,OFF,,2009-07-24 12:02:20.003705,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_OFF,0 days 00:00:01.955609,4,0,149,1924,1,Lunch,['Lunch'],14,1
19,13587,2009-07-24 12:02:20.062931,M024,ON,,2009-07-24 12:02:20.062931,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M024_ON,0 days 00:00:00.059226,4,0,149,1924,1,Lunch,['Lunch'],14,1
20,13588,2009-07-24 12:02:21.008036,M005,ON,,2009-07-24 12:02:21.008036,,,['Lunch'],1,Lunch,Lunch,str,False,Eat,"[2489, 2197]",[],no_activity,[],no_activity,2009-07-24,12,afternoon,fri,M005_ON,0 days 00:00:00.945105,4,0,2489,2197,1,Lunch,['Lunch'],14,1
