time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,53634,2009-07-28 08:45:10.070959,M013,ON,,2009-07-28 08:45:10.070959,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[805, 1343]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M013_ON,0 days 00:00:00.025096,5,0,805,1343,1,Breakfast,['Breakfast'],13,3
2,53635,2009-07-28 08:45:10.095589,M023,OFF,,2009-07-28 08:45:10.095589,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[149, 964]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M023_OFF,0 days 00:00:00.024630,5,0,149,964,1,Breakfast,['Breakfast'],13,3
3,53636,2009-07-28 08:45:12.002392,M016,OFF,,2009-07-28 08:45:12.002392,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[649, 1035]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M016_OFF,0 days 00:00:01.906803,5,0,649,1035,1,Breakfast,['Breakfast'],13,3
4,53637,2009-07-28 08:45:12.062011,M011,ON,,2009-07-28 08:45:12.062011,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M011_ON,0 days 00:00:00.059619,5,0,1061,1379,1,Breakfast,['Breakfast'],13,3
5,53638,2009-07-28 08:45:13.007057,M013,OFF,,2009-07-28 08:45:13.007057,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[805, 1343]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M013_OFF,0 days 00:00:00.945046,5,0,805,1343,1,Breakfast,['Breakfast'],13,3
6,53639,2009-07-28 08:45:13.094899,M014,OFF,,2009-07-28 08:45:13.094899,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1068, 1207]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M014_OFF,0 days 00:00:00.087842,5,0,1068,1207,1,Breakfast,['Breakfast'],13,3
7,53640,2009-07-28 08:45:16.038884,M011,OFF,,2009-07-28 08:45:16.038884,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M011_OFF,0 days 00:00:02.943985,5,0,1061,1379,1,Breakfast,['Breakfast'],13,3
8,53641,2009-07-28 08:45:19.057187,M013,ON,,2009-07-28 08:45:19.057187,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[805, 1343]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M013_ON,0 days 00:00:03.018303,5,0,805,1343,1,Breakfast,['Breakfast'],13,3
9,53642,2009-07-28 08:45:21.049376,M013,OFF,,2009-07-28 08:45:21.049376,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[805, 1343]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M013_OFF,0 days 00:00:01.992189,5,0,805,1343,1,Breakfast,['Breakfast'],13,3
10,53643,2009-07-28 08:45:21.076208,M013,ON,,2009-07-28 08:45:21.076208,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[805, 1343]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M013_ON,0 days 00:00:00.026832,5,0,805,1343,1,Breakfast,['Breakfast'],13,3
11,53644,2009-07-28 08:45:22.073086,M023,ON,,2009-07-28 08:45:22.073086,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[149, 964]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M023_ON,0 days 00:00:00.996878,5,0,149,964,1,Breakfast,['Breakfast'],13,3
12,53645,2009-07-28 08:45:23.008893,M012,ON,,2009-07-28 08:45:23.008893,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M012_ON,0 days 00:00:00.935807,5,0,1006,1502,1,Breakfast,['Breakfast'],13,3
13,53646,2009-07-28 08:45:23.041416,M011,ON,,2009-07-28 08:45:23.041416,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M011_ON,0 days 00:00:00.032523,5,0,1061,1379,1,Breakfast,['Breakfast'],13,3
14,53647,2009-07-28 08:45:25.081867,M013,OFF,,2009-07-28 08:45:25.081867,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[805, 1343]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M013_OFF,0 days 00:00:02.040451,5,0,805,1343,1,Breakfast,['Breakfast'],13,3
15,53648,2009-07-28 08:45:26.001966,M012,OFF,,2009-07-28 08:45:26.001966,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M012_OFF,0 days 00:00:00.920099,5,0,1006,1502,1,Breakfast,['Breakfast'],13,3
16,53649,2009-07-28 08:45:26.062945,M011,OFF,,2009-07-28 08:45:26.062945,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M011_OFF,0 days 00:00:00.060979,5,0,1061,1379,1,Breakfast,['Breakfast'],13,3
17,53650,2009-07-28 08:45:26.088967,M021,ON,,2009-07-28 08:45:26.088967,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M021_ON,0 days 00:00:00.026022,5,0,1003,1788,1,Breakfast,['Breakfast'],13,3
18,53651,2009-07-28 08:45:27.020793,M023,OFF,,2009-07-28 08:45:27.020793,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[149, 964]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M023_OFF,0 days 00:00:00.931826,5,0,149,964,1,Breakfast,['Breakfast'],13,3
19,53652,2009-07-28 08:45:30.080369,M021,OFF,,2009-07-28 08:45:30.080369,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M021_OFF,0 days 00:00:03.059576,5,0,1003,1788,1,Breakfast,['Breakfast'],13,3
20,53653,2009-07-28 08:45:31.058172,M021,ON,,2009-07-28 08:45:31.058172,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-28,8,late_morning,tue,M021_ON,0 days 00:00:00.977803,5,0,1003,1788,1,Breakfast,['Breakfast'],13,3
