time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,43418,2009-07-27 14:19:23.092388,M009,ON,,2009-07-27 14:19:23.092388,,,[],0,,no_activity,str,False,No_Activity,"[2362, 2362]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M009_ON,0 days 00:00:02.033019,5,0,2362,2362,1,no_activity,[],1,1
2,43420,2009-07-27 14:19:26.031167,M009,ON,,2009-07-27 14:19:26.031167,,,[],0,,no_activity,str,False,No_Activity,"[2362, 2362]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M009_ON,0 days 00:00:01.939985,5,0,2362,2362,1,no_activity,[],1,1
3,43421,2009-07-27 14:19:27.009255,M005,ON,,2009-07-27 14:19:27.009255,,,[],0,,no_activity,str,False,No_Activity,"[2489, 2197]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M005_ON,0 days 00:00:00.978088,5,0,2489,2197,1,no_activity,[],1,1
4,43424,2009-07-27 14:19:31.075329,M009,ON,,2009-07-27 14:19:31.075329,,,[],0,,no_activity,str,False,No_Activity,"[2362, 2362]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M009_ON,0 days 00:00:01.010278,5,0,2362,2362,1,no_activity,[],1,1
5,43425,2009-07-27 14:19:34.052516,M005,ON,,2009-07-27 14:19:34.052516,,,[],0,,no_activity,str,False,No_Activity,"[2489, 2197]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M005_ON,0 days 00:00:02.977187,5,0,2489,2197,1,no_activity,[],1,1
6,43428,2009-07-27 14:19:40.071732,M009,ON,,2009-07-27 14:19:40.071732,,,[],0,,no_activity,str,False,No_Activity,"[2362, 2362]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M009_ON,0 days 00:00:00.979413,5,0,2362,2362,1,no_activity,[],1,1
7,43429,2009-07-27 14:19:40.093323,M005,ON,,2009-07-27 14:19:40.093323,,,[],0,,no_activity,str,False,No_Activity,"[2489, 2197]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M005_ON,0 days 00:00:00.021591,5,0,2489,2197,1,no_activity,[],1,1
8,43432,2009-07-27 14:19:50.008625,M009,ON,,2009-07-27 14:19:50.008625,,,[],0,,no_activity,str,False,No_Activity,"[2362, 2362]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M009_ON,0 days 00:00:03.998093,5,0,2362,2362,1,no_activity,[],1,1
9,43434,2009-07-27 14:19:57.004261,M009,ON,,2009-07-27 14:19:57.004261,,,[],0,,no_activity,str,False,No_Activity,"[2362, 2362]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M009_ON,0 days 00:00:00.919748,5,0,2362,2362,1,no_activity,[],1,1
10,43435,2009-07-27 14:20:03.043524,M005,ON,,2009-07-27 14:20:03.043524,,,[],0,,no_activity,str,False,No_Activity,"[2489, 2197]",[],no_activity,[],no_activity,2009-07-27,14,afternoon,mon,M005_ON,0 days 00:00:06.039263,5,0,2489,2197,1,no_activity,[],1,1
