time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,66852,2009-07-29 17:06:09.017454,M024,ON,,2009-07-29 17:06:09.017454,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M024_ON,0 days 00:00:00.977026,9,0,149,1924,1,no_activity,[],4,3
2,66854,2009-07-29 17:06:11.057407,M024,ON,,2009-07-29 17:06:11.057407,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M024_ON,0 days 00:00:00.026463,9,0,149,1924,1,no_activity,[],4,3
3,66855,2009-07-29 17:06:14.071695,M022,ON,,2009-07-29 17:06:14.071695,,,[],0,,no_activity,str,False,No_Activity,"[694, 1791]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M022_ON,0 days 00:00:03.014288,9,0,694,1791,1,no_activity,[],4,3
4,66857,2009-07-29 17:06:17.083497,M024,ON,,2009-07-29 17:06:17.083497,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M024_ON,0 days 00:00:00.988229,9,0,149,1924,1,no_activity,[],4,3
5,66859,2009-07-29 17:06:21.099292,M022,ON,,2009-07-29 17:06:21.099292,,,[],0,,no_activity,str,False,No_Activity,"[694, 1791]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M022_ON,0 days 00:00:00.057815,9,0,694,1791,1,no_activity,[],4,3
6,66862,2009-07-29 17:06:28.000041,M024,ON,,2009-07-29 17:06:28.000041,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M024_ON,0 days 00:00:01.910382,9,0,149,1924,1,no_activity,[],4,3
7,66863,2009-07-29 17:06:31.026956,M022,ON,,2009-07-29 17:06:31.026956,,,[],0,,no_activity,str,False,No_Activity,"[694, 1791]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M022_ON,0 days 00:00:03.026915,9,0,694,1791,1,no_activity,[],4,3
8,66864,2009-07-29 17:06:34.083922,M011,ON,,2009-07-29 17:06:34.083922,,,[],0,,no_activity,str,False,No_Activity,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M011_ON,0 days 00:00:03.056966,9,0,1061,1379,1,no_activity,[],4,3
9,66866,2009-07-29 17:06:35.001386,M012,ON,,2009-07-29 17:06:35.001386,,,[],0,,no_activity,str,False,No_Activity,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M012_ON,0 days 00:00:00.000159,9,0,1006,1502,1,no_activity,[],4,3
10,66869,2009-07-29 17:06:37.062964,M012,ON,,2009-07-29 17:06:37.062964,,,[],0,,no_activity,str,False,No_Activity,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M012_ON,0 days 00:00:01.017466,9,0,1006,1502,1,no_activity,[],4,3
11,66870,2009-07-29 17:06:40.019578,M024,ON,,2009-07-29 17:06:40.019578,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-07-29,17,evening,wed,M024_ON,0 days 00:00:02.956614,9,0,149,1924,1,no_activity,[],4,3
