timestamp_round,sensor,value,label,time,x,y,label_first,label_list
2009-12-03 09:07:00,M004,4,Read,1,818,906,Read,[]
2009-12-03 09:07:00,M005,0,no_sensor_readings,1,1043,1210,Read,[]
2009-12-03 09:07:00,M027,0,no_sensor_readings,1,974,495,Read,[]
2009-12-03 09:07:00,D003,0,no_sensor_readings,1,449,27,Read,[]
2009-12-03 09:07:00,M003,0,no_sensor_readings,1,918,148,Read,[]
2009-12-03 09:07:00,M012,0,no_sensor_readings,1,716,150,Read,[]
2009-12-03 09:07:00,M014,0,no_sensor_readings,1,453,77,Read,[]
2009-12-03 09:07:00,M015,0,no_sensor_readings,1,455,184,Read,[]
2009-12-03 09:07:00,M022,0,no_sensor_readings,1,630,104,Read,[]
2009-12-03 09:07:00,M023,0,no_sensor_readings,1,543,146,Read,[]
2009-12-03 09:07:00,M009,0,no_sensor_readings,1,599,655,Read,[]
2009-12-03 09:07:00,M011,0,no_sensor_readings,1,597,340,Read,[]
2009-12-03 09:07:00,M016,0,no_sensor_readings,1,478,265,Read,[]
2009-12-03 09:07:00,M019,0,no_sensor_readings,1,532,787,Read,[]
2009-12-03 09:07:00,M025,0,no_sensor_readings,1,246,626,Read,[]
2009-12-03 09:07:00,M013,0,no_sensor_readings,1,422,689,Read,[]
2009-12-03 09:07:00,M020,0,no_sensor_readings,1,161,889,Read,[]
2009-12-03 09:07:00,M028,0,no_sensor_readings,1,209,964,Read,[]
2009-12-03 09:07:00,M010,0,no_sensor_readings,1,716,344,Read,[]
2009-12-03 09:07:00,M007,0,no_sensor_readings,1,467,1075,Read,[]
2009-12-03 09:07:00,M008,0,no_sensor_readings,1,678,908,Read,[]
2009-12-03 09:07:00,M026,0,no_sensor_readings,1,568,1045,Read,[]
2009-12-03 09:07:00,M021,0,no_sensor_readings,1,98,1079,Read,[]
2009-12-03 09:07:00,M006,0,no_sensor_readings,1,762,1135,Read,[]
2009-12-03 09:07:00,M017,0,no_sensor_readings,1,528,447,Read,[]
